Dataset,Method,P,R,F1,Acc
ASIAF,First Mentioned,0.423581190052,0.242307692308,0.306156481974,0.242307692308
ASIAF,ML Classical Features,0.957384615385,0.953384615385,0.955343799058,0.953384615385
ASIAF,ML Hybrid Features,0.957384615385,0.953384615385,0.955343799058,0.953384615385
ASIAF,ML Word Emb. Features,0.909304347826,0.894769230769,0.90181372549,0.894769230769
ASIAF,Most Commonly Mentioned,0.937344481605,0.926153846154,0.93155505279,0.926153846154
Combined,First Mentioned,0.501402192074,0.264201680672,0.343369302111,0.264201680672
Combined,ML Classical Features,0.965294117647,0.956890756303,0.961031543052,0.956890756303
Combined,ML Hybrid Features,0.965294117647,0.956890756303,0.961031543052,0.956890756303
Combined,ML Word Emb. Features,0.865064935065,0.841848739496,0.853171773576,0.841848739496
Combined,Most Commonly Mentioned,0.91872421696,0.905042016807,0.911742038801,0.905042016807
SOC,First Mentioned,0.527380952381,0.328888888889,0.401788766789,0.328888888889
SOC,ML Classical Features,1.0,1.0,1.0,1.0
SOC,ML Hybrid Features,1.0,1.0,1.0,1.0
SOC,ML Word Emb. Features,0.760912698413,0.694444444444,0.724724802202,0.694444444444
SOC,Most Commonly Mentioned,0.876825396825,0.846666666667,0.86022875817,0.846666666667
