Test Set,Method,Train Set,P,R,F1,Acc
ASIAF,First Mentioned,---,0.25101214574898784,0.2421875,0.24652087475149104,0.2421875
ASIAF,ML Classical Features,SA,0.9296875,0.9296875,0.9296875,0.9296875
ASIAF,ML Classical Features,SOC,0.94921875,0.94921875,0.94921875,0.94921875
ASIAF,ML Classical Features,"SOC, SA",0.94140625,0.94140625,0.94140625,0.94140625
ASIAF,ML Hybrid Features,SA,0.9453125,0.9453125,0.9453125,0.9453125
ASIAF,ML Hybrid Features,SOC,0.96484375,0.96484375,0.96484375,0.96484375
ASIAF,ML Hybrid Features,"SOC, SA",0.9609375,0.9609375,0.9609375,0.9609375
ASIAF,ML Word Emb. Features,SA,0.859375,0.859375,0.859375,0.859375
ASIAF,ML Word Emb. Features,SOC,0.9140625,0.9140625,0.9140625,0.9140625
ASIAF,ML Word Emb. Features,"SOC, SA",0.953125,0.953125,0.953125,0.953125
ASIAF,Most Commonly Mentioned,---,0.92578125,0.92578125,0.92578125,0.92578125
SA,First Mentioned,---,0.19172932330827067,0.18545454545454546,0.18853974121996303,0.18545454545454546
SA,ML Classical Features,ASIAF,0.8694029850746269,0.8472727272727273,0.858195211786372,0.8472727272727273
SA,ML Classical Features,"ASIAF, SOC",0.8805970149253731,0.8581818181818182,0.8692449355432782,0.8581818181818182
SA,ML Classical Features,SOC,0.8955223880597015,0.8727272727272727,0.8839779005524862,0.8727272727272727
SA,ML Hybrid Features,ASIAF,0.8880597014925373,0.8654545454545455,0.8766114180478821,0.8654545454545455
SA,ML Hybrid Features,"ASIAF, SOC",0.8694029850746269,0.8472727272727273,0.858195211786372,0.8472727272727273
SA,ML Hybrid Features,SOC,0.8917910447761194,0.8690909090909091,0.8802946593001842,0.8690909090909091
SA,ML Word Emb. Features,ASIAF,0.8036363636363636,0.8036363636363636,0.8036363636363636,0.8036363636363636
SA,ML Word Emb. Features,"ASIAF, SOC",0.7890909090909091,0.7890909090909091,0.7890909090909091,0.7890909090909091
SA,ML Word Emb. Features,SOC,0.7054545454545454,0.7054545454545454,0.7054545454545454,0.7054545454545454
SA,Most Commonly Mentioned,---,0.8805970149253731,0.8581818181818182,0.8692449355432782,0.8581818181818182
SOC,First Mentioned,---,0.4222222222222222,0.4175824175824176,0.419889502762431,0.4175824175824176
SOC,ML Classical Features,ASIAF,0.8681318681318682,0.8681318681318682,0.8681318681318682,0.8681318681318682
SOC,ML Classical Features,"ASIAF, SA",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
SOC,ML Classical Features,SA,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
SOC,ML Hybrid Features,ASIAF,0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791
SOC,ML Hybrid Features,"ASIAF, SA",0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791
SOC,ML Hybrid Features,SA,0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791
SOC,ML Word Emb. Features,ASIAF,0.945054945054945,0.945054945054945,0.945054945054945,0.945054945054945
SOC,ML Word Emb. Features,"ASIAF, SA",0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9560439560439561
SOC,ML Word Emb. Features,SA,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
SOC,Most Commonly Mentioned,---,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
